‼   203c   double_exclamation_m…  ⁉   2049   exclamation_question…  ™    2122   trade_mark_sign        ℹ    2139   information_source   
🎯   1f3af  direct_hit             🎰   1f3b0  slot_machine           🎱    1f3b1  billiards              🎲    1f3b2  game_die             
🎳   1f3b3  bowling                🎴   1f3b4  flower_playing_cards   🎵    1f3b5  musical_note           🎶    1f3b6  multiple_musical_not…
🎷   1f3b7  saxophone              🎸   1f3b8  guitar                 🎹    1f3b9  musical_keyboard       🎺    1f3ba  trumpet              
🎻   1f3bb  violin                 🎼   1f3bc  musical_score          🎽    1f3bd  running_shirt_with_s…  🎾    1f3be  tennis_racquet_and_b…
🎿   1f3bf  ski_and_ski_boot       🏀   1f3c0  basketball_and_hoop    🏁    1f3c1  chequered_flag         🏂    1f3c2  snowboarder          
🏃   1f3c3  runner                 🏄   1f3c4  surfer                 🏅    1f3c5  sports_medal           🏆    1f3c6  trophy               
🏇   1f3c7  horse_racing           🏈   1f3c8  american_football      🏉    1f3c9  rugby_football         🏊    1f3ca  swimmer              
🏋   1f3cb  weight_lifter          🏌   1f3cc  golfer                 🏍    1f3cd  racing_motorcycle      🏎    1f3ce  racing_car           
🏏   1f3cf  u1f3cf                 🏐   1f3d0  u1f3d0                 🏑    1f3d1  u1f3d1                 🏒    1f3d2  u1f3d2               
🏓   1f3d3  u1f3d3                 🏔   1f3d4  snow_capped_mountain   🏕    1f3d5  camping                🏖    1f3d6  beach_with_umbrella  
🏗   1f3d7  building_constructio…  🏘   1f3d8  house_buildings        🏙    1f3d9  cityscape              🏚    1f3da  derelict_house_build…
🏛   1f3db  classical_building     🏜   1f3dc  desert                 🏝    1f3dd  desert_island          🏞    1f3de  national_park        
🏟   1f3df  stadium                🏠   1f3e0  house_building         🏡    1f3e1  house_with_garden      🏢    1f3e2  office_building      
🏣   1f3e3  japanese_post_office   🏤   1f3e4  european_post_office   🏥    1f3e5  hospital               🏦    1f3e6  bank                 
🏧   1f3e7  automated_teller_mac…  🏨   1f3e8  hotel                  🏩    1f3e9  love_hotel             🏪    1f3ea  convenience_store    
🏫   1f3eb  school                 🏬   1f3ec  department_store       🏭    1f3ed  factory                🏮    1f3ee  izakaya_lantern      
🏯   1f3ef  japanese_castle        🏰   1f3f0  european_castle        🏳    1f3f3  waving_white_flag      🏴    1f3f4  waving_black_flag    
🏵   1f3f5  rosette                🏷   1f3f7  label                  🏸    1f3f8  u1f3f8                 🏹    1f3f9  u1f3f9               
🏺   1f3fa  u1f3fa                 🏻   1f3fb  u1f3fb                 🏼    1f3fc  u1f3fc                 🏽    1f3fd  u1f3fd               
🏾   1f3fe  u1f3fe                 🏿   1f3ff  u1f3ff                 🐀    1f400  rat                    🐁    1f401  mouse                
🐂   1f402  ox                     🐃   1f403  water_buffalo          🐄    1f404  cow                    🐅    1f405  tiger                
🐆   1f406  leopard                🐇   1f407  rabbit                 🐈    1f408  cat                    🐉    1f409  dragon               
🐊   1f40a  crocodile              🐋   1f40b  whale                  🐌    1f40c  snail                  🐍    1f40d  snake                
🐎   1f40e  horse                  🐏   1f40f  ram                    🐐    1f410  goat                   🐑    1f411  sheep                
🐒   1f412  monkey                 🐓   1f413  rooster                🐔    1f414  chicken                🐕    1f415  dog                  
🐖   1f416  pig                    🐗   1f417  boar                   🐘    1f418  elephant               🐙    1f419  octopus              
🐚   1f41a  spiral_shell           🐛   1f41b  bug                    🐜    1f41c  ant                    🐝    1f41d  honeybee             
